...1,id_new,party_cand,lr_self,year,ost,left_desc,right_desc,left_words
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,politisch
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,gesellschaftliche
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,teilhabe
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,freiheit
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,gerechtigkeit
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,europa
1,2,GRUENE,3,2013,1,menschenrechte gleichstellung frauenförderung selbstbestimmung,nationalismus rassismus homophobie sexistischpatriarchal,menschenrechte
1,2,GRUENE,3,2013,1,menschenrechte gleichstellung frauenförderung selbstbestimmung,nationalismus rassismus homophobie sexistischpatriarchal,gleichstellung
1,2,GRUENE,3,2013,1,menschenrechte gleichstellung frauenförderung selbstbestimmung,nationalismus rassismus homophobie sexistischpatriarchal,selbstbestimmung
2,3,PIRATEN,3,2013,1,offene ausgeschloßene multikulturelle feiheitsliebende demokratiesehnend nachhaltig mitbestimmung,engstirnig narzistisch uneuropäisch nicht zeitgemäß gesellschaftlich altmodisch,offen
2,3,PIRATEN,3,2013,1,offene ausgeschloßene multikulturelle feiheitsliebende demokratiesehnend nachhaltig mitbestimmung,engstirnig narzistisch uneuropäisch nicht zeitgemäß gesellschaftlich altmodisch,mitbestimmung
5,6,AfD,7,2013,1,staatsgläubig wohlfahrtsstaatsanhänger,eigentlich me konservativ liberal in medien oft radikal ausländerfeindlich antisemistisch usw,staatsgläubig
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,gleichheit
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,gesellschaftlich
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,progressiv
7,8,SPD,3,2013,1,solidarisch weltoffen wertschätzend,individualistisch ökonomisierend abwehrendablehnendggüber ungewohntemnicht tradiertem,solidarität
7,8,SPD,3,2013,1,solidarisch weltoffen wertschätzend,individualistisch ökonomisierend abwehrendablehnendggüber ungewohntemnicht tradiertem,weltoffen
8,9,PIRATEN,4,2013,1,links ist ein unpassender begriff,rechts ist ein unpassender begriff,links
9,10,CDU,6,2013,1,verteilung,zu nationalistisch,verteilung
10,11,DIE LINKE,2,2013,1,soziale gerechtigkeit friedliche konfliktlösungendh auch ablehnung jeglicher kriegseinsätze sozialökologischer umbau der gesellschaft,deutschnational ausländerfeindlich antisemitisch,sozial
