...1,id_new,party_cand,lr_self,year,ost,left_desc,right_desc,right_words
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,konservativ
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,stark
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,markt
0,1,SPD,3,2013,0,politische und gesellschaftliche teilhabe durch emanzipation   freiheit und gerechtigkeit   pro europa,konservativ stark am markt orientiert macht und geld dominieren,geld
1,2,GRUENE,3,2013,1,menschenrechte gleichstellung frauenförderung selbstbestimmung,nationalismus rassismus homophobie sexistischpatriarchal,nationalismus
1,2,GRUENE,3,2013,1,menschenrechte gleichstellung frauenförderung selbstbestimmung,nationalismus rassismus homophobie sexistischpatriarchal,rassismus
2,3,PIRATEN,3,2013,1,offene ausgeschloßene multikulturelle feiheitsliebende demokratiesehnend nachhaltig mitbestimmung,engstirnig narzistisch uneuropäisch nicht zeitgemäß gesellschaftlich altmodisch,gesellschaftlich
3,4,PIRATEN,4,2013,1,soziozentrisch dem arbeitsmythos verhaftet vorstellung von befreiung als äußerem geschehen strukturellem,xenophob autoritär egozentrisch soziozentrisch,autoritär
4,5,AfD,6,2013,1,dirigistisch,unabhängig,unabhängig
5,6,AfD,7,2013,1,staatsgläubig wohlfahrtsstaatsanhänger,eigentlich me konservativ liberal in medien oft radikal ausländerfeindlich antisemistisch usw,konservativ
5,6,AfD,7,2013,1,staatsgläubig wohlfahrtsstaatsanhänger,eigentlich me konservativ liberal in medien oft radikal ausländerfeindlich antisemistisch usw,liberal
5,6,AfD,7,2013,1,staatsgläubig wohlfahrtsstaatsanhänger,eigentlich me konservativ liberal in medien oft radikal ausländerfeindlich antisemistisch usw,radikal
5,6,AfD,7,2013,1,staatsgläubig wohlfahrtsstaatsanhänger,eigentlich me konservativ liberal in medien oft radikal ausländerfeindlich antisemistisch usw,ausländerfeindlich
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,gerechtigkeit
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,gesellschaftlich
6,7,CDU,8,2013,1,gleichheit internationalität gesellschaftlich progressiv,gerechtigkeit vaterland gesellschaftlich konservativ,konservativ
9,10,CDU,6,2013,1,verteilung,zu nationalistisch,nationalistisch
10,11,DIE LINKE,2,2013,1,soziale gerechtigkeit friedliche konfliktlösungendh auch ablehnung jeglicher kriegseinsätze sozialökologischer umbau der gesellschaft,deutschnational ausländerfeindlich antisemitisch,ausländerfeindlich
