word,association_score,lr_semantic,left_freq,right_freq,total_freq,lr_self_mean_left,lr_self_mean_right,lr_self_mean_weighted,lr_self_mean,eng_word_transl
sozialstrukturen,-1,left,2,0,2,6,NA,NA,6,social structures
sozialgerechtigkeit,-0.9999963727694324,left,1,0,1,1,NA,NA,1,social justice
bildungsgerechtigkeit,-0.9997968165844938,left,5,0,5,4,NA,NA,4,educational equity
nachhaltgerechtigkeit,-0.9993009390636672,left,1,0,1,4,NA,NA,4,sustainability justice
bürgerrente,-0.998679688073382,left,1,0,1,3,NA,NA,3,citizen's pension
zentralplanung,-0.9986128768264751,left,1,0,1,9,NA,NA,9,central planning
gesellschaftsgerechtigkeit,-0.998470186256242,left,1,0,1,7,NA,NA,7,social justice
versorgen,-0.9984628147876692,left,2,0,2,6.5,NA,NA,6.5,take care of
arbeitsverteilung,-0.99811892992837,left,1,0,1,2,NA,NA,2,distribution of work
zentralisation,-0.9978119024119356,left,1,0,1,6,NA,NA,6,centralization
umverteilungsorientierung,-0.9977641633773684,left,1,0,1,4,NA,NA,4,redistribution orientation
finanzierbarkeit,-0.9974981469678356,left,1,0,1,6,NA,NA,6,financial viability
lohngerechtigkeit,-0.997485451660849,left,2,0,2,4,NA,NA,4,wage justice
allgemeinwohlsozgerechtigkeit,-0.99744379701304,left,1,0,1,2,NA,NA,2,general welfare social justice
gleichmäßige,-0.9973502495666264,left,1,0,1,4,NA,NA,4,uniform
klimagerechtigkeit,-0.9969788094557572,left,3,0,3,1.75,NA,NA,1.75,climate justice
aufteilung,-0.9969513712116248,left,1,0,1,2,NA,NA,2,division
sozialleistung,-0.9968781830593648,left,2,0,2,9,NA,NA,9,social benefit
gendergerechtigkeit,-0.996844543421036,left,2,0,2,1.5,NA,NA,1.5,gender equality
struktur,-0.9967831730199804,left,1,0,1,6,NA,NA,6,structure
verteilen,-0.996710569904909,left,8,0,8,6.875,NA,NA,6.875,distribute
globale,-0.9966789193930204,left,7,0,7,2.5714285714285716,NA,NA,2.5714285714285716,global
sozgerechtigkeit,-0.9966215272448457,left,4,0,4,2.75,NA,NA,2.75,social justice
vereinheitlichung,-0.9965239430418324,left,2,0,2,6.5,NA,NA,6.5,unification
aufbauen,-0.9963073037709947,left,1,0,1,3,NA,NA,3,build up
weltweite,-0.9962066773746024,left,2,0,2,3.5,NA,NA,3.5,worldwide
sozialtransfer,-0.9961610444739128,left,1,0,1,7,NA,NA,7,social transfer
ausgleichumverteilung,-0.996010923931388,left,1,0,1,3,NA,NA,3,equalization redistribution
vereinfachung,-0.9959701468393616,left,1,0,1,6,NA,NA,6,simplification
bedarfsdeckende,-0.9959366242084704,left,1,0,1,3,NA,NA,3,needs-based
gleichberechtigte,-0.9959352201192184,left,2,0,2,3,NA,NA,3,equal rights
erzeugen,-0.9958765408892292,left,1,0,1,9,NA,NA,9,generate
